player,position,team,goals,shots,shots_on_target,goals/shots,goals/shots_on_target,average_shot_distance,shots_from_free_kicks,shots_from_penalties,non_penalty_expected_goals/shots,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
George Baldock,DF,Sheffield Utd,13,2,0,0,16.8,0,0,1.2,0.09,-1.2,-1.2
Gareth Bale,FW,Tottenham,38,19,0.29,0.58,18.7,7,0,5.8,0.17,5.2,5.2
Patrick Bamford,FW,Leeds United,105,46,0.14,0.33,13.2,0,2,16.6,0.16,-1.2,-1.6
Phil Bardsley,DF,Burnley,3,0,0,,21.5,0,0,0.1,0.03,-0.1,-0.1
Ross Barkley,MF,Aston Villa,38,11,0.08,0.27,18.7,2,0,3.1,0.08,-0.1,-0.1
Ross Barkley,"FW,MF",Chelsea,1,1,0,0,35.9,0,0,0,0.02,0,0
Ashley Barnes,FW,Burnley,37,12,0.05,0.17,16.8,0,1,3.3,0.09,-1.1,-1.3
Harvey Barnes,"FW,MF",Leicester City,56,25,0.16,0.36,17.5,0,0,5.9,0.11,3.1,3.1
Kyle Bartley,DF,West Brom,14,5,0.21,0.6,9,0,0,2.5,0.18,0.5,0.5
Chris Basham,"DF,MF",Sheffield Utd,10,1,0,0,13.3,0,0,0.7,0.07,-0.7,-0.7
Michy Batshuayi,FW,Crystal Palace,12,6,0.17,0.33,17,0,0,1.6,0.13,0.4,0.4
Jan Bednarek,DF,Southampton,10,5,0.1,0.2,10.6,0,0,0.7,0.07,0.3,0.3
Donny van de Beek,"MF,FW",Manchester Utd,2,1,0.5,1,18.4,0,0,0.4,0.18,0.6,0.6
Héctor Bellerín,"DF,MF",Arsenal,15,5,0.07,0.2,20.3,0,0,0.8,0.05,0.2,0.2
Saïd Benrahma,"FW,MF",West Ham,35,12,0.03,0.08,21.2,1,0,2.6,0.07,-1.6,-1.6
Josh Benson,MF,Burnley,2,0,0,,24.2,1,0,0.2,0.1,-0.2,-0.2
Christian Benteke,FW,Crystal Palace,71,33,0.14,0.3,12.5,0,0,8.3,0.12,1.7,1.7
Gaetano Berardi,DF,Leeds United,1,0,0,,8.3,0,0,0.1,0.11,-0.1,-0.1
Jóhann Berg Guðmundsson,MF,Burnley,19,8,0.11,0.25,21.5,1,0,1.2,0.06,0.8,0.8
Sander Berge,MF,Sheffield Utd,9,1,0,0,18,0,1,0.4,0.05,-0.2,-0.4
Steven Bergwijn,"FW,MF",Tottenham,15,6,0.07,0.17,17.1,0,0,2,0.13,-1,-1
Bernard,"MF,FW",Everton,6,2,0.17,0.5,22.5,0,0,0.3,0.04,0.7,0.7
Bernardo,"DF,MF",Brighton,4,0,0,,7.7,0,0,0.4,0.1,-0.4,-0.4
Ryan Bertrand,DF,Southampton,8,3,0,0,19.7,0,0,0.4,0.05,-0.4,-0.4
Yves Bissouma,MF,Brighton,42,3,0.02,0.33,26.5,2,0,1.4,0.03,-0.4,-0.4
Jayden Bogle,"DF,MF",Sheffield Utd,17,7,0.12,0.29,13.1,0,0,1.9,0.11,0.1,0.1
Willy Boly,DF,Wolves,15,3,0.07,0.33,13.3,0,0,1.1,0.07,-0.1,-0.1
Jarrod Bowen,"FW,MF",West Ham,55,16,0.15,0.5,16.4,0,0,7.1,0.13,0.9,0.9
Robbie Brady,MF,Burnley,16,5,0.06,0.2,21.1,4,0,0.8,0.05,0.2,0.2
Rhian Brewster,"FW,MF",Sheffield Utd,24,7,0,0,21.8,1,0,1.8,0.07,-1.8,-1.8
Nathan Broadhead,FW,Everton,0,0,,,,0,0,0,,0,0
Josh Brownhill,MF,Burnley,34,7,0,0,21.9,7,0,1.9,0.06,-1.9,-1.9
Joe Bryan,"DF,MF",Fulham,8,2,0.13,0.5,21.9,1,0,0.6,0.07,0.4,0.4
Kean Bryan,DF,Sheffield Utd,3,1,0.33,1,7.7,0,0,0.9,0.31,0.1,0.1
Oliver Burke,FW,Sheffield Utd,25,6,0.04,0.17,15.6,0,0,2.1,0.08,-1.1,-1.1
Dan Burn,DF,Brighton,17,6,0.06,0.17,14.4,0,0,1.5,0.09,-0.5,-0.5
Jack Butland,GK,Crystal Palace,0,0,,,,0,0,0,,0,0
David Button,GK,West Brom,0,0,,,,0,0,0,,0,0
Oskar Buur,DF,Wolves,0,0,,,,0,0,0,,0,0
Willy Caballero,GK,Chelsea,0,0,,,,0,0,0,,0,0
Gary Cahill,DF,Crystal Palace,11,3,0.09,0.33,12.5,0,0,0.7,0.07,0.3,0.3
Tom Cairney,MF,Fulham,12,4,0.08,0.25,21,0,0,0.5,0.04,0.5,0.5
Dominic Calvert-Lewin,FW,Everton,83,46,0.19,0.35,12.2,0,0,16.3,0.2,-0.3,-0.3
João Cancelo,"DF,MF",Manchester City,35,11,0.06,0.18,22.5,0,0,1.6,0.05,0.4,0.4
Ian Carlo Poveda,MF,Leeds United,5,3,0,0,17.8,0,0,0.3,0.06,-0.3,-0.3
Andy Carroll,FW,Newcastle Utd,14,2,0.07,0.5,14.3,0,0,0.8,0.06,0.2,0.2
Scott Carson,GK,Manchester City,0,0,,,,0,0,0,,0,0
Fabio Carvalho,"MF,FW",Fulham,9,5,0.11,0.2,15.4,0,0,1.2,0.13,-0.2,-0.2
Matty Cash,DF,Aston Villa,9,2,0,0,22.9,0,0,0.3,0.03,-0.3,-0.3
Kiko Casilla,GK,Leeds United,0,0,,,,0,0,0,,0,0
Timothy Castagne,DF,Leicester City,8,3,0.25,0.67,10.9,0,0,1.1,0.14,0.9,0.9
Jonny Castro,"MF,DF",Wolves,1,0,0,,15.2,0,0,0.1,0.05,-0.1,-0.1
Ivan Cavaleiro,FW,Fulham,45,15,0.04,0.13,18.1,1,1,4.8,0.11,-3.4,-2.8
Edinson Cavani,FW,Manchester Utd,34,15,0.29,0.67,11.4,0,0,8,0.24,2,2
Dani Ceballos,MF,Arsenal,13,2,0,0,21.7,1,0,0.6,0.05,-0.6,-0.6
Calum Chambers,DF,Arsenal,8,0,0,,16.6,0,0,0.4,0.05,-0.4,-0.4
Ben Chilwell,DF,Chelsea,27,10,0.11,0.3,14.4,0,0,2.4,0.09,0.6,0.6
Hamza Choudhury,MF,Leicester City,4,1,0,0,22.2,0,0,0.4,0.1,-0.4,-0.4
Andreas Christensen,DF,Chelsea,3,0,0,,12.7,0,0,0.1,0.05,-0.1,-0.1
Carney Chukwuemeka,"MF,FW",Aston Villa,1,0,0,,23.5,0,0,0,0.04,0,0
Ciaran Clark,DF,Newcastle Utd,8,2,0.13,0.5,11.1,0,0,0.7,0.08,0.3,0.3
Nathaniel Clyne,DF,Crystal Palace,4,1,0,0,21.7,0,0,0.2,0.04,-0.2,-0.2
Conor Coady,DF,Wolves,7,2,0.14,0.5,11.6,0,0,1,0.15,0,0
Séamus Coleman,"DF,MF",Everton,12,4,0,0,19.7,0,0,0.9,0.07,-0.9,-0.9
Aaron Connolly,FW,Brighton,23,8,0.09,0.25,14,0,0,4,0.17,-2,-2
Liam Cooper,DF,Leeds United,15,8,0.07,0.13,8.9,0,0,1.8,0.12,-0.8,-0.8
Theo Corbeanu,FW,Wolves,0,0,,,,0,0,0,,0,0
Jack Cork,MF,Burnley,5,0,0,,22.3,0,0,0.2,0.05,-0.2,-0.2
Hélder Costa,"MF,FW",Leeds United,16,6,0.19,0.5,14.8,0,0,2.2,0.14,0.8,0.8
Vladimír Coufal,DF,West Ham,15,5,0,0,16.5,0,0,1.3,0.08,-1.3,-1.3
Aaron Cresswell,DF,West Ham,19,4,0,0,25.4,11,0,1,0.05,-1,-1
Patrick Cutrone,FW,Wolves,1,0,0,,10.2,0,0,0.1,0.08,-0.1,-0.1
Stuart Dallas,"MF,DF",Leeds United,48,18,0.17,0.44,20.5,0,0,4.2,0.09,3.8,3.8
Scott Dann,DF,Crystal Palace,4,1,0.25,1,10.2,0,0,0.3,0.07,0.7,0.7
Karl Darlow,GK,Newcastle Utd,0,0,,,,0,0,0,,0,0
Ben Davies,DF,Tottenham,3,0,0,,13,0,0,0.2,0.07,-0.2,-0.2
Tom Davies,MF,Everton,7,0,0,,25.8,0,0,0.2,0.03,-0.2,-0.2
Keinan Davis,"FW,MF",Aston Villa,9,2,0.11,0.5,10.6,0,0,1.5,0.16,-0.5,-0.5
Leif Davis,DF,Leeds United,0,0,,,,0,0,0,,0,0
Craig Dawson,DF,West Ham,16,5,0.19,0.6,10.1,0,0,1.9,0.12,1.1,1.1
Kevin De Bruyne,MF,Manchester City,77,24,0.05,0.17,21,10,2,6.9,0.09,-3.3,-2.9
Liam Delap,FW,Manchester City,1,0,0,,13,0,0,0,0.05,0,0
Fabian Delph,"MF,DF",Everton,1,0,0,,31.9,0,0,0,0.02,0,0
Leander Dendoncker,"MF,DF",Wolves,31,8,0.03,0.13,15,0,0,3.1,0.1,-2.1,-2.1
Mbaye Diagne,FW,West Brom,25,9,0.12,0.33,10.4,0,0,6.6,0.27,-3.6,-3.6
Amad Diallo,FW,Manchester Utd,1,1,0,0,25.7,0,0,0,0.03,0,0
Ibrahima Diallo,MF,Southampton,7,1,0,0,22.4,0,0,0.5,0.07,-0.5,-0.5
Grady Diangana,"MF,FW",West Brom,14,4,0.07,0.25,17.4,0,0,1.1,0.08,-0.1,-0.1
Rúben Dias,DF,Manchester City,14,6,0.07,0.17,8.3,0,0,1.9,0.13,-0.9,-0.9
Eric Dier,DF,Tottenham,14,2,0,0,22.2,8,0,1.2,0.08,-1.2,-1.2
Lucas Digne,"DF,MF",Everton,13,0,0,,23.7,3,0,0.5,0.04,-0.5,-0.5
Issa Diop,DF,West Ham,3,2,0.67,1,9.6,0,0,0.5,0.16,1.5,1.5
Moussa Djenepo,MF,Southampton,14,2,0.07,0.5,20.2,0,0,0.8,0.06,0.2,0.2
Matt Doherty,DF,Tottenham,3,1,0,0,16.7,0,0,0.4,0.12,-0.4,-0.4
Gabriel Dos Santos,DF,Arsenal,16,4,0.13,0.5,12.6,0,0,1.3,0.08,0.7,0.7
Abdoulaye Doucouré,MF,Everton,18,5,0.11,0.4,17.4,0,0,2.3,0.13,-0.3,-0.3
Martin Dúbravka,GK,Newcastle Utd,0,0,,,,0,0,0,,0,0
Paul Dummett,DF,Newcastle Utd,3,1,0.33,1,9.2,0,0,0.3,0.11,0.7,0.7
Lewis Dunk,DF,Brighton,32,14,0.16,0.36,15.2,3,0,2.2,0.07,2.8,2.8
Jimmy Dunne,DF,Burnley,7,1,0.14,1,11.5,0,0,0.5,0.07,0.5,0.5
Ederson,GK,Manchester City,0,0,,,,0,0,0,,0,0
Kyle Edwards,"MF,FW",West Brom,2,1,0,0,15.4,0,0,0.1,0.06,-0.1,-0.1
John Egan,DF,Sheffield Utd,14,3,0,0,11.9,0,0,0.8,0.06,-0.8,-0.8
Anthony Elanga,FW,Manchester Utd,2,1,0.5,1,11.9,0,0,0.4,0.22,0.6,0.6
Ahmed Elmohamady,DF,Aston Villa,9,1,0,0,11.9,0,0,0.4,0.05,-0.4,-0.4
Mohamed Elneny,MF,Arsenal,9,2,0.11,0.5,21.5,0,0,0.4,0.05,0.6,0.6
Jonny Evans,DF,Leicester City,8,3,0.25,0.67,7.8,0,0,1.7,0.21,0.3,0.3
Eberechi Eze,MF,Crystal Palace,37,13,0.11,0.31,21.7,4,0,2.2,0.06,1.8,1.8
Łukasz Fabiański,GK,West Ham,0,0,,,,0,0,0,,0,0
Fabinho,"DF,MF",Liverpool,10,1,0,0,23.1,0,0,0.3,0.04,-0.3,-0.3
Bruno Fernandes,MF,Manchester Utd,111,40,0.08,0.23,22.9,16,9,8.2,0.07,1.9,0.8
Federico Fernández,DF,Newcastle Utd,4,2,0,0,14,0,0,0.3,0.06,-0.3,-0.3
Fernandinho,MF,Manchester City,14,3,0,0,22.7,0,0,0.7,0.05,-0.7,-0.7
Sam Field,MF,West Brom,0,0,,,,0,0,0,,0,0
Roberto Firmino,FW,Liverpool,83,32,0.11,0.28,14.3,0,0,11.3,0.14,-2.3,-2.3
John Fleck,MF,Sheffield Utd,17,5,0,0,24.6,0,0,0.6,0.03,-0.6,-0.6
Phil Foden,"FW,MF",Manchester City,45,20,0.2,0.45,15,0,0,5,0.11,4,4
Wesley Fofana,DF,Leicester City,11,2,0,0,9.9,0,0,1,0.09,-1,-1
Pablo Fornals,"FW,MF",West Ham,50,15,0.1,0.33,16.3,0,0,6,0.12,-1,-1
Fraser Forster,GK,Southampton,0,0,,,,0,0,0,,0,0
Timothy Fosu-Mensah,DF,Manchester Utd,1,0,0,,30.9,0,0,0,0.02,0,0
Tyrese Francois,DF,Fulham,0,0,,,,0,0,0,,0,0
Ryan Fraser,"FW,MF",Newcastle Utd,13,6,0,0,21.6,0,0,0.9,0.07,-0.9,-0.9
Fred,MF,Manchester Utd,25,7,0.04,0.14,24.1,0,0,1.8,0.07,-0.8,-0.8
Ryan Fredericks,"DF,FW",West Ham,4,2,0.25,0.5,14.8,0,0,0.3,0.07,0.7,0.7
Christian Fuchs,DF,Leicester City,4,0,0,,27.4,0,0,0.1,0.02,-0.1,-0.1
Darnell Furlong,DF,West Brom,26,5,0.04,0.2,13.8,0,0,2,0.08,-1,-1
Conor Gallagher,MF,West Brom,29,7,0.07,0.29,22,0,0,1.5,0.05,0.5,0.5
Eric García,DF,Manchester City,2,0,0,,22.5,0,0,0.1,0.04,-0.1,-0.1
Dwight Gayle,"FW,MF",Newcastle Utd,16,6,0.06,0.17,10.8,1,0,2.9,0.2,-1.9,-1.9
Jean-Philippe Gbamin,MF,Everton,0,0,,,,0,0,0,,0,0
David de Gea,GK,Manchester Utd,0,0,,,,0,0,0,,0,0
Anwar El Ghazi,FW,Aston Villa,60,26,0.1,0.23,21.7,6,4,5.3,0.09,1.6,0.7
Kieran Gibbs,DF,West Brom,1,0,0,,12,0,0,0.1,0.06,-0.1,-0.1
Morgan Gibbs-White,"MF,FW",Wolves,10,4,0.1,0.25,21.1,0,0,0.8,0.08,0.2,0.2
Billy Gilmour,MF,Chelsea,1,0,0,,22.6,0,0,0.1,0.05,-0.1,-0.1
Olivier Giroud,FW,Chelsea,29,10,0.14,0.4,11.6,0,0,4.2,0.15,-0.2,-0.2
Ben Godfrey,DF,Everton,14,2,0,0,16.1,0,0,1,0.07,-1,-1
André Gomes,MF,Everton,14,3,0,0,26.7,0,0,0.5,0.03,-0.5,-0.5
Joe Gomez,DF,Liverpool,0,0,,,,0,0,0,,0,0
Anthony Gordon,"FW,MF",Everton,0,0,,,,0,0,0,,0,0
Karlan Grant,"FW,MF",West Brom,16,9,0.06,0.11,15.7,1,0,1.8,0.12,-0.8,-0.8
Demarai Gray,FW,Leicester City,1,0,0,,29.7,1,0,0.1,0.07,-0.1,-0.1
Jack Grealish,"FW,MF",Aston Villa,50,17,0.12,0.35,17,2,0,4.6,0.09,1.4,1.4
Mason Greenwood,FW,Manchester Utd,67,23,0.1,0.3,16.8,0,0,6,0.09,1,1
Pascal Groß,"MF,DF",Brighton,28,4,0,0,22.2,6,3,1.7,0.06,-1.9,-1.7
Kamil Grosicki,"MF,FW",West Brom,3,0,0,,22.7,0,0,0.1,0.04,-0.1,-0.1
Vicente Guaita,GK,Crystal Palace,0,0,,,,0,0,0,,0,0
İlkay Gündoğan,MF,Manchester City,52,21,0.23,0.57,17.3,4,1,7.4,0.14,4,4.6
Antwoine Hackford,DF,Sheffield Utd,1,0,0,,10.9,0,0,0.1,0.1,-0.1,-0.1
Sébastien Haller,FW,West Ham,25,11,0.12,0.27,10.2,0,0,2.9,0.11,0.1,0.1
Rekeem Harper,MF,West Brom,1,1,0,0,26.1,0,0,0,0.03,0,0
Jack Harrison,"MF,FW",Leeds United,45,19,0.18,0.42,15.6,1,0,5.8,0.13,2.2,2.2
Kortney Hause,DF,Aston Villa,5,1,0.2,1,7.9,0,0,1,0.21,0,0
Kai Havertz,"MF,FW",Chelsea,33,16,0.12,0.25,13.1,0,0,5.5,0.17,-1.5,-1.5
Isaac Hayden,"MF,DF",Newcastle Utd,16,2,0,0,20.4,0,0,0.7,0.04,-0.7,-0.7
Michael Hector,DF,Fulham,1,0,0,,10.7,0,0,0.1,0.05,-0.1,-0.1
Ahmed Hegazi,DF,West Brom,0,0,,,,0,0,0,,0,0
Dean Henderson,GK,Manchester Utd,0,0,,,,0,0,0,,0,0
Jordan Henderson,"MF,DF",Liverpool,14,4,0.07,0.25,19.1,0,0,1.3,0.09,-0.3,-0.3
Jeff Hendrick,MF,Newcastle Utd,10,2,0.2,1,18.7,0,0,1.1,0.11,0.9,0.9
Pablo Hernández,MF,Leeds United,15,3,0,0,19,0,0,1.1,0.07,-1.1,-1.1
Son Heung-min,FW,Tottenham,67,35,0.24,0.46,17.5,1,1,8.9,0.13,7.3,7.1
Ki-Jana Hoever,"DF,MF",Wolves,1,0,0,,17.7,0,0,0,0.04,0,0
Rob Holding,DF,Arsenal,14,2,0,0,12.8,0,0,1,0.07,-1,-1
Mason Holgate,DF,Everton,5,3,0.2,0.33,11.8,0,0,1,0.19,0,0
Conor Hourihane,MF,Aston Villa,5,2,0.2,0.5,22.7,2,0,0.7,0.13,0.3,0.3
Callum Hudson-Odoi,"FW,DF",Chelsea,23,6,0.09,0.33,19.3,0,0,1.3,0.06,0.7,0.7
Niall Huggins,DF,Leeds United,0,0,,,,0,0,0,,0,0
Pierre Højbjerg,MF,Tottenham,14,7,0.14,0.29,24,0,0,1.1,0.08,0.9,0.9
Odion Ighalo,FW,Manchester Utd,0,0,,,,0,0,0,,0,0
Kelechi Iheanacho,FW,Leicester City,58,24,0.21,0.5,17.6,1,0,7.4,0.13,3.8,4.6
Danny Ings,FW,Southampton,55,24,0.18,0.42,15.9,0,2,6.9,0.13,3.5,3.1
Branislav Ivanović,DF,West Brom,4,1,0,0,7.7,0,0,0.5,0.13,-0.5,-0.5
Alex Iwobi,"FW,MF",Everton,15,3,0.07,0.33,18.7,0,0,0.9,0.06,0.1,0.1
José Izquierdo,DF,Brighton,1,1,0,0,32.6,0,0,0,0.02,0,0
Phil Jagielka,DF,Sheffield Utd,0,0,,,,0,0,0,,0,0
Alireza Jahanbakhsh,"FW,MF",Brighton,18,3,0,0,18.1,0,0,1.5,0.09,-1.5,-1.5
Daniel James,FW,Manchester Utd,17,6,0.18,0.5,17.2,0,0,2.2,0.13,0.8,0.8
Reece James,DF,Chelsea,34,11,0.03,0.09,21.6,4,0,1.6,0.05,-0.6,-0.6
Alexandre Jankewitz,MF,Southampton,0,0,,,,0,0,0,,0,0
Daniel Jebbison,FW,Sheffield Utd,4,2,0.25,0.5,11.7,0,0,1.1,0.29,-0.1,-0.1
Gabriel Jesus,FW,Manchester City,55,16,0.16,0.56,13.7,0,0,8.7,0.16,0.3,0.3
Raúl Jiménez,FW,Wolves,26,10,0.15,0.4,16.2,0,0,2.4,0.09,1.6,1.6
Joelinton,"FW,MF",Newcastle Utd,43,19,0.07,0.16,15.4,0,1,4.6,0.11,-1.4,-1.6
Ben Johnson,"DF,FW",West Ham,3,1,0.33,1,22.5,0,0,0.4,0.14,0.6,0.6
Sam Johnstone,GK,West Brom,0,0,,,,0,0,0,,0,0
Curtis Jones,MF,Liverpool,19,9,0.05,0.11,19.4,0,0,1.7,0.09,-0.7,-0.7
Jorginho,MF,Chelsea,5,0,0,,47.9,0,7,0.2,0.03,-0.3,-0.2
Willian José,FW,Wolves,19,7,0.05,0.14,15.1,0,0,1.6,0.08,-0.6,-0.6
Diogo Jota,FW,Liverpool,46,26,0.2,0.35,14.4,0,0,6.4,0.14,2.6,2.6
James Justin,DF,Leicester City,10,3,0.2,0.67,14.8,0,0,2.2,0.22,-0.2,-0.2
Ozan Kabak,DF,Liverpool,1,0,0,,4.6,0,0,0.1,0.14,-0.1,-0.1
Aboubakar Kamara,"FW,MF",Fulham,4,2,0,0,20.4,0,0,0.5,0.14,-0.5,-0.5
Harry Kane,FW,Tottenham,133,47,0.14,0.4,18.3,14,4,16.9,0.13,2.9,2.1
N'Golo Kanté,MF,Chelsea,10,3,0,0,21.3,0,0,0.6,0.06,-0.6,-0.6
Moise Kean,"FW,MF",Everton,1,0,0,,25.8,0,0,0,0.05,0,0
Michael Keane,DF,Everton,16,6,0.19,0.5,12.7,0,0,1.5,0.09,1.5,1.5
Neeskens Kebano,"FW,MF",Fulham,6,0,0,,20,1,0,0.3,0.04,-0.3,-0.3
Naby Keïta,MF,Liverpool,9,2,0,0,21.2,0,0,0.4,0.04,-0.4,-0.4
Caoimhín Kelleher,GK,Liverpool,0,0,,,,0,0,0,,0,0
Martin Kelly,DF,Crystal Palace,0,0,,,,0,0,0,,0,0
Jonjoe Kenny,DF,Everton,0,0,,,,0,0,0,,0,0
Reda Khadra,MF,Brighton,0,0,,,,0,0,0,,0,0
Max Kilman,DF,Wolves,7,2,0,0,12.2,0,0,0.8,0.11,-0.8,-0.8
Joshua King,"MF,FW",Everton,3,1,0,0,13.8,0,0,0.6,0.2,-0.6,-0.6
Mateusz Klich,MF,Leeds United,34,9,0.06,0.22,22.9,0,2,1.4,0.04,1,0.6
Robin Koch,"DF,MF",Leeds United,9,1,0,0,12.3,0,0,0.7,0.08,-0.7,-0.7
Sead Kolašinac,DF,Arsenal,0,0,,,,0,0,0,,0,0
Terence Kongolo,DF,Fulham,0,0,,,,0,0,0,,0,0
Ezri Konsa,DF,Aston Villa,22,7,0.09,0.29,9.7,0,0,2.4,0.11,-0.4,-0.4
Cheikhou Kouyaté,DF,Crystal Palace,7,2,0.14,0.5,11.2,0,0,0.7,0.1,0.3,0.3
Mateo Kovačić,MF,Chelsea,23,4,0,0,24.3,0,0,1,0.04,-1,-1
Emil Krafth,DF,Newcastle Utd,7,3,0.14,0.33,22.8,0,0,0.3,0.04,0.7,0.7
Filip Krovinović,MF,West Brom,8,2,0,0,25.1,0,0,0.3,0.03,-0.3,-0.3
Alexandre Lacazette,FW,Arsenal,42,25,0.24,0.4,14.9,3,3,9.3,0.22,1.3,0.7
Adam Lallana,"MF,FW",Brighton,22,5,0.05,0.2,17.3,0,0,1.6,0.07,-0.6,-0.6
Érik Lamela,"FW,MF",Tottenham,21,9,0.05,0.11,20.4,4,0,1.1,0.05,-0.1,-0.1
Tariq Lamptey,"DF,MF",Brighton,6,2,0.17,0.5,11.9,0,0,0.7,0.11,0.3,0.3
Manuel Lanzini,"MF,FW",West Ham,12,3,0.08,0.33,18.4,1,0,1,0.08,0,0
Aymeric Laporte,DF,Manchester City,6,1,0,0,13.1,0,0,0.8,0.13,-0.8,-0.8
Jamaal Lascelles,DF,Newcastle Utd,15,3,0.13,0.67,10.6,0,0,1.3,0.09,0.7,0.7
Maxime Le Marchand,DF,Fulham,1,0,0,,34.1,0,0,0,0.02,0,0
Mario Lemina,MF,Fulham,19,2,0.05,0.5,24.2,0,0,0.7,0.04,0.3,0.3
Bernd Leno,GK,Arsenal,0,0,,,,0,0,0,,0,0
Khanya Leshabela,MF,Leicester City,0,0,,,,0,0,0,,0,0
Jamal Lewis,DF,Newcastle Utd,3,1,0,0,18.6,0,0,0.1,0.04,-0.1,-0.1
Victor Lindelöf,DF,Manchester Utd,4,1,0.25,1,6.4,0,0,0.6,0.15,0.4,0.4
Jesse Lingard,"MF,FW",West Ham,40,20,0.2,0.4,21.4,1,1,2.8,0.07,4.5,5.2
Jake Livermore,MF,West Brom,5,0,0,,19.8,0,0,0.3,0.07,-0.3,-0.3
Diego Llorente,DF,Leeds United,8,3,0.13,0.33,17.4,0,0,0.8,0.1,0.2,0.2
Hugo Lloris,GK,Tottenham,0,0,,,,0,0,0,,0,0
Giovani Lo Celso,MF,Tottenham,15,5,0.07,0.2,19,1,0,1.4,0.09,-0.4,-0.4
